"month","Models","values"
2019-06-01,"Counterfactual",217.679279979136
2019-07-01,"Counterfactual",242.67521145912
2019-08-01,"Counterfactual",270.541405054138
2019-09-01,"Counterfactual",301.607450586262
2019-10-01,"Counterfactual",336.240784403928
2019-11-01,"Counterfactual",374.851035267227
2019-12-01,"Counterfactual",417.894869267591
2020-01-01,"Counterfactual",465.88139108561
2020-02-01,"Counterfactual",519.378165470804
2020-03-01,"Counterfactual",579.017930162934
2020-04-01,"Counterfactual",645.506079652505
2020-05-01,"Counterfactual",719.629008295292
2020-06-01,"Counterfactual",802.26341145981
2020-07-01,"Counterfactual",894.386654717825
2020-08-01,"Counterfactual",997.088333720446
2020-09-01,"Counterfactual",1111.5831614852
2020-10-01,"Counterfactual",1239.22533551964
2020-11-01,"Counterfactual",1381.52455470981
2020-12-01,"Counterfactual",1540.1638754148
2021-01-01,"Counterfactual",1717.01961796184
2021-02-01,"Counterfactual",1914.18355898771
2021-03-01,"Counterfactual",2133.98767210842
2021-04-01,"Counterfactual",2379.03170953939
2021-05-01,"Counterfactual",2652.21395089031
2021-06-01,"Counterfactual",2956.76548281868
2021-07-01,"Counterfactual",3296.28841498752
2021-08-01,"Counterfactual",3674.79848432986
2021-09-01,"Counterfactual",4096.7725515257
2021-10-01,"Counterfactual",4567.20155146004
2021-11-01,"Counterfactual",5091.64952393824
2021-12-01,"Counterfactual",5676.31942284939
2022-01-01,"Counterfactual",6328.12648214159
2022-02-01,"Counterfactual",7054.78000635135
2022-03-01,"Counterfactual",7864.87455307174
